AAPL
BAC
AMZN
T
GOOG
MO
DAL
AA
AXP
DD
BABA
ABT
UA
AMAT
AMGN
AAL
AIG
ALL
ADBE
GOOGL
ACN
ABBV
MT
LLY
APA
ADP
AKAM
NLY
ATVI
ADSK
ADM
WBA
ARNA
LUV
ACAD
PANW
AMD
AEP
ALXN
AVGO
EA
DB
AEM
APD
AMBA
NVS
ANF
LULU
RAD
JBLU
A
ORLY
FOLD
AZO
AN
AZN
AES
BUD
ARR
BDX
AB
CS
AFL
ADI
ACIW
AMP
AEO
AWK
NVO
ALTR
ALK
ARCC
AAP
NAT
FNMA
AIV
AGIO
AEE
UBS
AVXL
ARLP
ANTM
AG
ABC
ATI
ADT
AVB
ALNY
LH
AVY
AUY
ASH
AINV
ACET
ABMD
ABM
LIFE
ATO
AON
ADC
SAVE
ADS
AYI
AWH
ASML
AMT
ACM
ATRS
ARW
ARI
AR
AMC
AL
AGEN
AAN
FCAU
BAH
AVT
ALB
AIZ
SAIC
CAR
AU
APH
AMX
AI
WMC
JKHY
AVAV
AMKR
ACH
ERC
AEIS
Y
CENX
ASPS
AMRN
ALKS
ADES
AAON
XLRN
VRSK
VJET
APTS
APO
ALG
ACTG
RBA
MAA
BAM
ASX
ARCO
ANET
AIR
WAB
RS
PKG
AXDX
AVA
ARWR
ANGI
AMG
ALSN
ALGN
AKBA
AGO
ACRX
ROK
GLPI
AZZ
ATRC
ARMK
AMCX
ALE
AHT
ABB
SPR
SEE
PAAS
BBVA
APOG
ANDE
AMSC
AMRS
AMED
ALEX
ALCO
ADUS
AAWW
WMS
PAG
MDRX
KLIC
ETH
AZPN
AMH
AME
AJG
AIQ
AGCO
AERI
ACRE
ABEO
WAL
NOG
HTA
GIII
CVU
ARE
ANSS
AMNB
AIN
AGX
AEG
ADTN
ADMS
ACLS
ABG
HOLI
GPI
AXTA
AWR
AWI
AVEO
ATHM
ATAX
AROC
ALX
AGI
AER
AE
RHHBY
ODC
KAR
FMS
DOX
CXW
AXS
AXL
AVID
ASGN
ARDX
ARAY
APT
APDN
AMBC
ALGT
AIT
AIMC
AEL
AEHR
ACHC
ACCO
TA
RPAI
MANH
LAMR
KYN
ATRO
ATNI
APEI
AP
ANIK
ANGO
AMOT
AM
ALV
AKR
AEGN
WRLD
UHAL
SAH
NAII
CACC
ATSG
ASB
AROW
ARCB
AMRK
ALRM
AGRX
ABEV
AAOI
USAP
STFC
STAY
SEED
RGA
CEA
AXR
AVD
AUDC
ATRI
AOSL
AMWD
ALLY
ACGL
ABR
ABCB
SAMG
RAIL
MITT
HASI
GOL
GIL
EAD
ATTO
ATR
ATNM
ASTC
ASR
ASC
ARTNA
AOD
ACNB
AAT
ZNH
NFJ
KALU
HOMB
FAF
CAAS
BGR
AUPH
ATV
ATLC
APLE
ANY
ANIP
AMSWA
AMSF
ALLT
AKTX
AGYS
AGTC
AFG
ADDYY
RESI
LND
CII
CCD
AVNW
APPF
ALLE
AJRD
AHH
AGM
AAME
SINO
OMAB
NOA
MTT
HIO
FAX
CRMT
CRESY
CGA
CAF
ATRA
ATEN
ATEC
ARDC
APPS
ANAT
AEB
ADPT
ACRS
ACC
REX
PAC
NNA
GABC
ERH
BTI
ASUR
ASMB
ARES
AMRC
AMOV
ABIO
VLRS
TEAM
NEA
IGA
IDE
GBAB
FWP
EVTC
CHY
BTZ
AXU
ARKR
AMRB
ALOT
AKER
AHPI
AGRO
ADX
ADAP
ACU
TKC
RZA
PRTS
PEO
NBB
HYB
GAM
DLA
BRKS
AVK
AUBN
ASYS
ASA
AMPH
ALJJ
ALDX
AGR
AGD
AFC
ABUS
RYAM
PAHC
NAC
MZA
MGR
HYI
FWRD
FEN
FEI
AXGN
ASRV
APAM
AMS
AGFS
ACV
ACBI
ABTX
AAMC
TVC
NSA
NKG
NAD
MPAA
LDP
JRI
JAX
GGM
EARS
EADSY
DMO
AXTI
ATLO
ASTE
ASND
ARL
APTO
AFMD
AFB
SBI
RKDA
PSF
NAZ
MNP
MMU
JTA
IAE
GCP
FTAI
FGB
FCO
EMD
DDAIF
CHI
CEE
BUI
AXSM
AKZOY
AJX
ACP
PHX
JCE
IGI
GER
CACG
BTA
AMRH
AIF
WIA
WEA
VKI
SCD
PAI
NKX
NBRV
MOG-A
GGZ
FBGX
